animal,groupP1,seasonEnvChallP1,dateSingleCellP1,dateEnvChallP1,dateVaxP1,groupP2,dateEnvChallP2,dateLPS3moP2,dateLPS6moP2,dateLPS9moP2,dateVaxP2
77_06,SPF2,summer,2018-10-10,2018-07-11,2019-01-22,SPF4,2019-10-18,2019-10-15,NA,NA,NA
DV2J,NSPF5,fall,2018-10-15,2018-10-02,2019-02-11,NSPF5,2019-10-07,2019-10-11,2019-12-17,2020-03-17,2020-01-21
JVA,SPF2,summer,2018-10-10,2018-07-11,2019-01-22,SPF5,2019-11-11,2019-11-14,2020-02-06,2020-04-27,2020-02-24
RAi10,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05,NA,NA,NA,NA,NA,NA
RAz15,SPF5,fall,2018-10-09,2018-09-24,2019-01-28,SPF1,2019-10-10,2019-10-04,2019-12-18,2020-03-18,2020-02-24
RBi10,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05,NSPF3,2019-10-14,2019-10-08,2019-12-18,2020-03-18,2020-01-21
RBm7,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05,NSPF4,2019-10-16,2019-10-09,2019-12-19,2020-03-19,2020-02-04
RBw12,SPF3,fall,2018-10-18,2018-10-11,2019-01-28,SPF4,2019-11-13,2019-11-12,2020-02-06,2020-04-27,2020-02-24
RCg16,SPF5,fall,2018-10-09,2018-09-24,2019-01-28,SPF2,NA,NA,NA,NA,NA
RCl13,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11,NSPF2,2019-08-25,2019-08-28,2019-10-21,2019-12-20,2020-02-04
RCv9,NSPF5,fall,NA,2018-10-02,2019-02-11,NSPF2,2019-08-25,2019-08-28,2019-10-21,2019-12-20,2020-02-04
RDj15,SPF5,fall,2018-10-09,2018-09-24,2019-01-28,SPF5,2019-11-11,2019-11-14,2020-02-06,2020-04-27,2020-02-24
RDj7,NA,NA,NA,NA,NA,NSPF4,2019-10-16,2019-10-09,2019-12-19,2020-03-19,2020-02-04
REd8,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05,NSPF2,2019-08-25,2019-08-28,2019-10-21,2019-12-20,2020-02-04
REt12,SPF5,fall,2018-10-09,2018-09-24,2019-01-28,SPF3,2019-10-03,2019-10-09,2019-12-17,2020-03-17,2020-01-27
RFi9,NA,NA,NA,NA,NA,NSPF5,2019-10-07,2019-10-11,2019-12-17,2020-03-17,2020-01-21
RFn14,NSPF5,fall,NA,2018-10-02,2019-02-11,NSPF1,2019-08-27,2019-08-26,2019-10-22,2019-12-20,2020-01-21
RFw12,SPF5,fall,2018-10-09,2018-09-24,2019-01-28,SPF4,2019-11-13,2019-11-12,2020-02-06,2020-04-27,2020-02-24
RFy11,SPF4,fall,2018-10-17,2018-10-09,2019-01-28,SPF2,2019-10-03,2019-10-09,2019-12-17,2020-03-17,2020-01-27
RGa13,SPF3,fall,2018-10-18,2018-10-11,2019-01-28,SPF3,2019-10-18,2019-10-15,2019-12-19,2020-03-19,2020-01-27
RGl11,SPF2,summer,2018-10-10,2018-07-11,2019-01-22,SPF3,2019-10-18,2019-10-15,2019-12-19,NA,2020-01-27
RGq10,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11,NSPF5,2019-10-07,2019-10-11,2019-12-17,2020-03-17,2020-01-21
RGu10,NSPF4,summer,2018-10-12,2018-07-09,2019-02-11,NSPF1,2019-08-27,2019-08-26,2019-10-22,2019-12-20,2020-01-21
RHt8,SPF1,summer,2018-10-03,2018-06-27,2019-01-22,SPF4,2019-11-13,2019-11-12,2020-02-06,2020-04-27,2020-02-24
RIe6,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05,NA,NA,NA,NA,NA,NA
RIk6,NSPF3,summer,2018-10-04,2018-06-21,NA,NA,NA,NA,NA,NA,NA
RIv8,NSPF4,summer,NA,2018-07-09,2019-02-11,NSPF5,2019-10-07,2019-10-11,2019-12-17,2020-03-17,2020-01-21
RJe11,SPF2,summer,2018-10-10,2018-07-11,2019-01-22,SPF2,2019-10-03,2019-10-09,2019-12-17,2020-03-17,2020-01-27
RKk13,SPF2,summer,2018-10-10,2018-07-11,2019-01-22,SPF1,2019-10-10,2019-10-04,2019-12-18,2020-03-18,2020-02-24
RLm8,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11,NSPF1,2019-08-27,2019-08-26,2019-10-22,2019-12-20,2020-01-21
RLo9,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11,NSPF4,2019-10-16,2019-10-09,2019-12-19,2020-03-19,2020-02-04
RMd11,NA,NA,NA,NA,NA,NSPF5,2019-10-07,2019-10-11,2019-12-17,2020-03-17,2020-01-21
