ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
1,AI,SGE1,NSPF2_1,2,1240,49,2,0,AI_NSPF2_1,AI,1240,0.9918,1240,163.46,101.473,61.987,49,NSPF2_1,1,6.67183673469388,0,2,2018-06-25,2018-06-25,EnvChall,0.346666666666667,RAi10,2018-03-21,TRUE,0,1,3.1461406864564,-0.594388785817357,240,NSPF2_1
2,AZ,SGE1,SPF5_1,5,150,36,5,27,AZ_SPF5_1,AZ,150,0.9957,150,18.394,16.552,1.842,36,SPF5_1,1,1.02188888888889,1.5,5,2018-09-24,2018-09-24,EnvChall,0.351421188630491,RAz15,2018-07-08,FALSE,17,0.782051282051282,-0.146444697328908,1.03840682788051,-850,SPF5_1
3,BI,SGE1,NSPF1_1,5,353,31,5,63,BI_NSPF1_1,BI,353,0.973,353,17.84,0,17.84,31,NSPF1_1,1,1.15096774193548,4.06451612903226,5,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RBi10,2018-09-10,FALSE,0,1,-1.71768034111976,3.15506117908788,-647,NSPF1_1
4,BM,SGE1,NSPF2_1,3,335,45,5,59,BM_NSPF2_1,BM,335,0.9918,335,48.564,36.562,12.002,45,NSPF2_1,1,2.1584,2.62222222222222,5,2018-06-25,2018-06-25,EnvChall,0.346666666666667,RBm7,2018-03-21,FALSE,12,0.875,-1.36729604823748,2.02783343640486,-665,NSPF2_1
5,BW,SGE1,SPF3_1,1,1469,33,2,1,BW_SPF3_1,BW,1539,0.9963,1469,27.656,21.33,6.326,33,SPF3_1,1,1.67612121212121,0.0606060606060606,2,2018-10-11,2018-10-11,EnvChall,0.471448275862069,RBw12,2018-07-02,FALSE,11,0.891089108910891,-0.74540606060606,-3.36969696969697,539,SPF3_1
6,CG,SGE1,SPF5_1,3,1157,38,3,2,CG_SPF5_1,CG,1154,0.9957,1157,28.999,2.97399999999999,26.025,38,SPF5_1,1,1.52626315789474,0.105263157894737,3,2018-09-24,2018-09-24,EnvChall,0.351421188630491,RCg16,2018-07-08,FALSE,0,1,0.35792957167694,-0.356330014224751,154,SPF5_1
7,CL,SGE1,NSPF3_1,5,645,40,5,12,CL_NSPF3_1,CL,647,0.9976,645,79.371,71.666,7.705,40,NSPF3_1,1,3.96855,0.6,5,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RCl13,2018-04-16,FALSE,0,1,0.489326270653029,0.357261998426436,-353,NSPF3_1
8,CV,SGE1,NSPF5_1,4,953,30,4,5,CV_NSPF5_1,CV,954,0.9801,953,119.62,40.973,78.647,30,NSPF5_1,1,7.97466666666667,0.333333333333333,4,2018-10-02,2018-10-02,EnvChall,0.333795654184004,RCv9,2018-09-10,FALSE,0,1,2.49633003663004,0.137179487179487,-239.75,NSPF5_1
9,DJ,SGE1,SPF5_1,1,1367,39,2,0,DJ_SPF5_1,DJ,1382,0.9957,1367,27.157,18.851,8.30599999999999,39,SPF5_1,1,1.39266666666667,0,2,2018-09-24,2018-09-24,EnvChall,0.351421188630491,RDj15,2018-07-08,FALSE,0,1,0.22433308044887,-0.461593172119488,382,SPF5_1
11,ED,SGE1,NSPF2_1,4,1170,49,3,3,ED_NSPF2_1,ED,1170,0.9918,1170,115.955,52.923,63.032,49,NSPF2_1,1,4.73285714285714,0.122448979591837,3,2018-06-25,2018-06-25,EnvChall,0.346666666666667,REd8,2018-03-21,FALSE,0,1,1.20716109461967,-0.47193980622552,170,NSPF2_1
12,ET,SGE1,SPF5_1,4,633,37,4,13,ET_SPF5_1,ET,653,0.9957,633,11.623,1.628,9.995,37,SPF5_1,1,0.62827027027027,0.702702702702703,4,2018-09-24,2018-09-24,EnvChall,0.351421188630491,REt12,2018-07-08,FALSE,18,0.769230769230769,-0.540063315947527,0.241109530583215,-347,SPF5_1
13,FN,SGE1,NSPF5_1,1,1404,30,2,1,FN_NSPF5_1,FN,1365,0.9801,1404,21.618,14.058,7.56,30,NSPF5_1,1,1.4412,0.0666666666666667,2,2018-10-02,2018-10-02,EnvChall,0.333795654184004,RFn14,2018-09-10,FALSE,0,1,-4.03713663003663,-0.129487179487179,171.25,NSPF5_1
14,FW,SGE1,SPF5_1,2,1693,38,1,0,FW_SPF5_1,FW,1661,0.9957,1693,24.179,15.171,9.008,38,SPF5_1,1,1.27257894736842,0,1,2018-09-24,2018-09-24,EnvChall,0.351421188630491,RFw12,2018-07-08,FALSE,0,1,0.104245361150624,-0.461593172119488,661,SPF5_1
15,FY,SGE1,SPF4_1,1,907,31,3,27,FY_SPF4_1,FY,906,0.9752,907,62.091,31.464,30.627,31,SPF4_1,1,4.00587096774194,1.74193548387097,3,2018-10-09,2018-10-09,EnvChall,0.445940078158923,RFy11,2018-09-17,FALSE,0,1,-0.194153225806452,0.454493087557604,-39.75,SPF4_1
16,GA,SGE1,SPF3_1,4,965,33,3,35,GA_SPF3_1,GA,975,0.9963,965,53.03,25.587,27.443,33,SPF3_1,1,3.21393939393939,2.12121212121212,3,2018-10-11,2018-10-11,EnvChall,0.471448275862069,RGa13,2018-07-02,FALSE,0,1,0.792412121212121,-1.30909090909091,-25,SPF3_1
17,GL,SGE1,SPF2_1,3,912,43,3,2,GL_SPF2_1,GL,912,1,912,32.543,13.446,19.097,43,SPF2_1,1,1.51362790697674,0.0930232558139535,3,2018-07-11,2018-07-11,EnvChall,0.221613832853026,RGl11,2018-05-23,FALSE,0,1,0.63052381362157,-0.205705618951322,-88,SPF2_1
18,GQ,SGE1,NSPF3_1,1,1124,40,2,0,GQ_NSPF3_1,GQ,1121,0.9976,1124,43.325,28.212,15.113,40,NSPF3_1,1,2.16625,0,2,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RGq10,2018-04-16,FALSE,0,1,-1.31297372934697,-0.242738001573564,121,NSPF3_1
19,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1391,0.9934,1404,95.069,70.482,24.587,39,NSPF4_1,1,4.87533333333333,0,1,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RGu10,2018-05-14,FALSE,0,1,0.78811452991453,-0.202564102564103,391,NSPF4_1
20,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1475,0.9969,1475,162.172,15.155,147.017,48,SPF1_1,1,6.75716666666667,0,1,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RHt8,2018-03-20,FALSE,0,1,3.04596897163121,-0.971631205673759,475,SPF1_1
21,IE,SGE1,NSPF1_1,3,845,29,4,7,IE_NSPF1_1,IE,845,0.973,845,41.873,41.024,0.848999999999997,29,NSPF1_1,1,2.88779310344828,0.482758620689655,4,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RIe6,2018-09-10,TRUE,0,1,0.019145020393029,-0.426696329254728,-155,NSPF1_1
22,IK,SGE1,NSPF3_1,4,732,31,4,8,IK_NSPF3_1,IK,734,0.9976,732,25.138,15.066,10.072,31,NSPF3_1,1,1.6218064516129,0.516129032258065,4,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RIk6,2018-04-16,TRUE,7,0.893939393939394,-1.85741727773407,0.2733910306845,-266,NSPF3_1
23,IV,SGE1,NSPF4_1,5,587,36,5,9,IV_NSPF4_1,IV,626,0.9934,587,56.71,0.465,56.245,36,NSPF4_1,1,3.15055555555556,0.5,5,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RIv8,2018-05-14,FALSE,0,1,-0.936663247863248,0.297435897435897,-374,NSPF4_1
24,JE,SGE1,SPF2_1,4,880,46,4,1,JE_SPF2_1,JE,880,1,880,36.932,23.486,13.446,46,SPF2_1,1,1.60573913043478,0.0434782608695652,4,2018-07-11,2018-07-11,EnvChall,0.221613832853026,RJe11,2018-05-23,FALSE,0,1,0.722635037079608,-0.25525061389571,-120,SPF2_1
25,JV,SGE1,SPF2_1,2,1176,46,2,0,JV_SPF2_1,JV,1176,1,1176,12.576,11.705,0.871,46,SPF2_1,1,0.546782608695652,0,2,2018-07-11,2018-07-11,EnvChall,0.221613832853026,JVA,2018-05-23,FALSE,8,0.836734693877551,-0.336321484659522,-0.298728874765275,176,SPF2_1
26,KK,SGE1,SPF2_1,5,336,28,5,19,KK_SPF2_1,KK,336,1,336,3.518,0,3.518,28,SPF2_1,1,0.251285714285714,1.35714285714286,5,2018-07-11,2018-07-11,EnvChall,0.221613832853026,RKk13,2018-05-23,FALSE,21,0.571428571428571,-0.63181837906946,1.05841398237758,-664,SPF2_1
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1472,0.9976,1483,123.682,17.175,106.507,41,NSPF3_1,1,6.03326829268293,0,1,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RLm8,2018-04-16,FALSE,0,1,2.55404456333596,-0.242738001573564,472,NSPF3_1
28,LO,SGE1,NSPF3_1,3,1016,41,3,2,LO_NSPF3_1,LO,1026,0.9976,1016,73.928,40.603,33.325,41,NSPF3_1,1,3.60624390243902,0.0975609756097561,3,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RLo9,2018-04-16,FALSE,0,1,0.127020173092053,-0.145177025963808,26,NSPF3_1
