ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,adjDate,fractionKept,animalID,experimentDate
1,AI,SGE1,NSPF2_1,1562,16.2154693877551,0,4.93728003401361,-1.71502473716759,562,Vax,0.965454545454545,RAi10,2019-02-05
2,AZ,SGE1,SPF5_1,46,2.26127777777778,2.94444444444444,-0.401942500395132,1.90684854895381,-954,Vax,0.936175710594315,RAz15,2019-01-28
3,BI,SGE1,NSPF1_1,345,10.1623870967742,6.12903225806452,-1.7374797626993,4.48097886540601,-655,Vax,0.936585365853659,RBi10,2019-02-05
4,BM,SGE1,NSPF2_1,147,8.83506666666667,7.46666666666667,-2.44312268707483,5.75164192949907,-853,Vax,0.965454545454545,RBm7,2019-02-05
5,BW,SGE1,SPF3_1,1475,2.01527272727273,0.0606060606060606,-1.57071515151515,-3.93939393939394,475,Vax,0.870344827586207,RBw12,2019-01-28
6,CG,SGE1,SPF5_1,1049,2.59415789473684,0.578947368421053,-0.069062383436068,-0.45864852706958,49,Vax,0.936175710594315,RCg16,2019-01-28
7,CL,SGE1,NSPF3_1,473,12.87555,2.6,3.72955000786782,1.70129819040126,-527,Vax,1,RCl13,2019-02-11
8,CV,SGE1,NSPF5_1,779,20.9807333333333,1.2,2.88053388278388,0.633333333333333,-443,Vax,0.982431807674526,RCv9,2019-02-11
9,DJ,SGE1,SPF5_1,1509,3.678,0.205128205128205,1.01477972182709,-0.832467690362427,509,Vax,0.936175710594315,RDj15,2019-01-28
11,ED,SGE1,NSPF2_1,1078,11.6502857142857,0.612244897959184,0.372096360544219,-1.10277983920841,78,Vax,0.965454545454545,REd8,2019-02-05
12,ET,SGE1,SPF5_1,504,1.3872972972973,1.45945945945946,-1.27592298087561,0.421863563968827,-496,Vax,0.936175710594315,REt12,2019-01-28
13,FN,SGE1,NSPF5_1,1541,14.0782,0.0666666666666667,-4.02199945054945,-0.5,319,Vax,0.982431807674526,RFn14,2019-02-11
14,FW,SGE1,SPF5_1,1892,3.39536842105263,0,0.732148142879722,-1.03759589549063,892,Vax,0.936175710594315,RFw12,2019-01-28
15,FY,SGE1,SPF4_1,820,8.102,2.38709677419355,-0.979501152073732,-0.167050691244239,-125.75,Vax,0.877551020408163,RFy11,2019-01-28
16,GA,SGE1,SPF3_1,913,4.69436363636364,2.60606060606061,1.10837575757576,-1.39393939393939,-87,Vax,0.870344827586207,RGa13,2019-01-28
17,GL,SGE1,SPF2_1,823,6.188,0.744186046511628,2.19933007797013,-1.83073811931244,-177,Vax,0.926512968299712,RGl11,2019-01-22
18,GQ,SGE1,NSPF3_1,1125,6.8329,0.15,-2.31309999213218,-0.748701809598741,125,Vax,1,RGq10,2019-02-11
19,GU,SGE1,NSPF4_1,1664,19.1167692307692,0,4.99476666666667,-1.01709401709402,664,Vax,0.976807639836289,RGu10,2019-02-11
20,HT,SGE1,SPF1_1,1665,13.21775,0,5.77139397163121,-1.76081560283688,665,Vax,0.937052393516773,RHt8,2019-01-22
21,IE,SGE1,NSPF1_1,666,4.35944827586207,1.72413793103448,-7.54041858361142,0.0760845383759732,-334,Vax,0.936585365853659,RIe6,2019-02-05
22,IK,SGE1,NSPF3_1,664,2.87735483870968,1.54838709677419,-6.2686451534225,0.649685287175452,-336,Vax,1,RIk6,NA
