ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,experimentDate,adjDate,fractionKept,animalID,groupcent_groom,groupcent_agRec,groupcent_elo
1,AI,SGE1,NSPF2_1,1566,18.1889795918367,0,NA,WholePhase,1,RAi10,5.45553704803133,-1.73280251494537,566
2,AZ,SGE1,SPF5_1,40,2.78983333333333,3.11111111111111,NA,WholePhase,1,RAz15,-0.569125134040924,1.99722313406524,-960
3,BI,SGE1,NSPF1_1,493,10.3484516129032,6.12903225806452,NA,WholePhase,1,RBi10,-1.69784566555432,4.440489432703,-507
4,BM,SGE1,NSPF2_1,147,10.1668444444444,7.55555555555556,NA,WholePhase,1,RBm7,-2.56659809936096,5.82275304061018,-853
5,BW,SGE1,SPF3_1,1489,2.68636363636364,0.0606060606060606,NA,WholePhase,1,RBw12,-1.54112727272727,-4.47272727272727,489
6,CG,SGE1,SPF5_1,1073,3.52073684210526,0.631578947368421,NA,WholePhase,1,RCg16,0.161778374731007,-0.482309029677451,73
7,CL,SGE1,NSPF3_1,473,12.87555,2.6,NA,WholePhase,1,RCl13,3.72955000786782,1.70129819040126,-527
8,CV,SGE1,NSPF5_1,785,20.9807333333333,1.2,NA,WholePhase,1,RCv9,4.77649914529914,0.444444444444444,-354
9,DJ,SGE1,SPF5_1,1509,4.88117948717949,0.205128205128205,NA,WholePhase,1,RDj15,1.52222101980523,-0.908759771917667,509
10,ED,SGE1,NSPF2_1,1074,13.1029795918367,0.612244897959184,NA,WholePhase,1,REd8,0.369537048031335,-1.12055761698619,74
11,ET,SGE1,SPF5_1,486,1.41962162162162,1.62162162162162,NA,WholePhase,1,REt12,-1.93933684575264,0.50773364457575,-514
12,FN,SGE1,NSPF5_1,1541,14.0782,0.0666666666666667,NA,WholePhase,1,RFn14,-2.12603418803419,-0.688888888888889,402
13,FW,SGE1,SPF5_1,1892,4.18342105263158,0,NA,WholePhase,1,RFw12,0.824462585257322,-1.11388797704587,892
14,FY,SGE1,SPF4_1,818,8.77470967741936,2.38709677419355,NA,WholePhase,1,RFy11,-1.08646140552995,-0.309907834101382,-127.75
15,GA,SGE1,SPF3_1,934,5.89636363636364,2.72727272727273,NA,WholePhase,1,RGa13,1.66887272727273,-1.80606060606061,-66
16,GL,SGE1,SPF2_1,817,7.73237209302326,0.790697674418605,NA,WholePhase,1,RGl11,2.83084366358208,-1.81092012133468,-183
17,GQ,SGE1,NSPF3_1,1125,6.8329,0.15,NA,WholePhase,1,RGq10,-2.31309999213218,-0.748701809598741,125
18,GU,SGE1,NSPF4_1,1664,19.8941025641026,0,NA,WholePhase,1,RGu10,5.46116666666667,-1.07948717948718,664
19,HT,SGE1,SPF1_1,1708,13.4867083333333,0,NA,WholePhase,1,RHt8,5.90027092198581,-1.83581560283688,708
20,IE,SGE1,NSPF1_1,492,4.4371724137931,1.86206896551724,NA,WholePhase,1,RIe6,-7.60912486466444,0.173526140155729,-508
21,IK,SGE1,NSPF3_1,664,2.87735483870968,1.54838709677419,NA,WholePhase,1,RIk6,-6.2686451534225,0.649685287175452,-336
22,IV,SGE1,NSPF4_1,457,5.1995,2.16666666666667,NA,WholePhase,1,RIv8,-9.2334358974359,1.08717948717949,-543
23,JE,SGE1,SPF2_1,758,7.6015652173913,1.17391304347826,NA,WholePhase,1,RJe11,2.70003678795013,-1.42770475227503,-242
24,JV,SGE1,SPF2_1,1398,4.46891304347826,0.0434782608695652,NA,WholePhase,1,JVA,-0.432615385962918,-2.55813953488372,398
25,KK,SGE1,SPF2_1,134,0.509642857142857,11,NA,WholePhase,1,RKk13,-4.39188557229832,8.39838220424671,-866
26,LM,SGE1,NSPF3_1,1718,13.5047317073171,0,NA,WholePhase,1,RLm8,4.35873171518489,-0.898701809598741,718
27,LO,SGE1,NSPF3_1,1020,9.63946341463415,0.195121951219512,NA,WholePhase,1,RLo9,0.493463422501968,-0.703579858379229,20
28,MG,SGE1,SPF4_1,1619,14.795935483871,0,NA,WholePhase,1,RMg12,4.93476440092166,-2.69700460829493,673.25
29,MI,SGE1,SPF3_1,206,2.76181818181818,6.18181818181818,NA,WholePhase,1,RMi12,-1.46567272727273,1.64848484848485,-794
30,MO,SGE1,SPF2_1,1893,4.19514893617021,0,NA,WholePhase,1,77_06,-0.706379493270965,-2.60161779575329,893
31,NN,SGE1,SPF4_1,202,6.13507142857143,8.14285714285714,NA,WholePhase,1,RNn10,-3.72609965437788,5.44585253456221,-743.75
32,PH,SGE1,NSPF2_1,756,8.76040909090909,0.454545454545455,NA,WholePhase,1,RPh7,-3.97303345289631,-1.27825706039992,-244
33,PT,SGE1,NSPF4_1,748,15.3055897435897,1.58974358974359,NA,WholePhase,1,RPt8,0.872653846153847,0.51025641025641,-252
34,QT,SGE1,SPF1_1,505,6.9085,2.91666666666667,NA,WholePhase,1,RQt8,-0.677937411347518,1.08085106382979,-495
