ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
1,AZ,SGE2,SPF1,3,780,19,3,4,AZ_SPF1,AZ,800,AZ,795,0.9995,0.975903614457831,0.7,0.293,1,0.517,780,12.582,10.719,1.863,19,SPF1,2,1.32442105263158,0.421052631578947,4,4,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RAz15,2019-07-19,FALSE,0,1,-0.520832903336773,-0.243034055727554,-240,SPF1
2,BI,SGE2,NSPF3,1,1266,20,2,0,BI_NSPF3,BI,1266,BI,1161,0.9986,1,1,0.112,1,0.112,1266,115.801,41.294,74.507,20,NSPF3,2,11.5801,0,2,2,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RBi10,2019-07-19,FALSE,0,1,2.76197411764706,-1.14117647058824,266,NSPF3
3,BM,SGE2,NSPF4,1,1438,19,1,0,BM_NSPF4,BM,1453,BM,1359,0.9991,1,0.95,0.146,1,0.328,1438,144.4,58.347,86.053,19,NSPF4,2,15.2,0,1,1,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RBm7,2019-07-19,FALSE,0,1,4.89396257309942,-0.471345029239766,453,NSPF4
4,BW,SGE2,SPF4,2,1212,13,2,3,BW_SPF4,BW,1221,BW,1038,0.9946,1,1,0.376,1,0.378,1212,24.349,0.813,23.536,13,SPF4,2,3.746,0.461538461538462,2,2,2019-11-13,2019-11-13,EnvChall,0.549053356282272,RBw12,2019-08-21,FALSE,0,1,1.21246153846154,-0.0512820512820512,65,SPF4
5,CL,SGE2,NSPF2,2,438,29,5,103,CL_NSPF2,CL,438,CL,777,0.9962,0.992673992673993,1,0.102,1,0.114,438,32.842,20.678,12.164,29,NSPF2,2,2.26496551724138,7.10344827586207,5,5,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RCl13,2019-04-26,FALSE,0,1,-1.18893402663748,4.88699142492246,-562,NSPF2
6,CV,SGE2,NSPF2,4,1039,28,3,8,CV_NSPF2,CV,1039,CV,1037,0.9962,0.992673992673993,1,0.102,1,0.114,1039,87.406,65.624,21.782,28,NSPF2,2,6.24328571428571,0.571428571428571,3,3,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RCv9,2019-04-26,FALSE,0,1,2.78938617040686,-1.64502827951104,39,NSPF2
7,D2,SGE2,NSPF4,2,1159,19,2,0,D2_NSPF4,D2,1159,D2,1000,0.9991,1,0.95,0.146,1,0.328,1159,76.127,50.705,25.422,19,NSPF4,2,8.01336842105263,0,2,2,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RDj7,2019-07-19,TRUE,0,1,-2.29266900584795,-0.471345029239766,159,NSPF4
8,DJ,SGE2,SPF5,4,933,11,3,5,DJ_SPF5,DJ,936,DJ,934,0.9835,0.982300884955752,1,0.136,1,0.204,933,53.351,46.254,7.097,11,SPF5,2,9.70018181818182,0.909090909090909,3,3,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RDj15,2019-10-25,FALSE,0,1,2.59191212121212,-0.106060606060606,-64,SPF5
9,ED,SGE2,NSPF2,1,1469,29,1,0,ED_NSPF2,ED,1469,ED,1080,0.9962,0.992673992673993,1,0.102,1,0.114,1469,59.776,3.714,56.062,29,NSPF2,2,4.12248275862069,0,1,1,2019-08-25,2019-08-25,EnvChall,0.500429922613929,REd8,2019-04-26,FALSE,0,1,0.668583214741835,-2.21645685093961,469,NSPF2
10,ET,SGE2,SPF3,2,730,20,4,24,ET_SPF3,ET,702,ET,706,0.995,1,1,0.114,1,0.218,730,41.244,20.082,21.162,20,SPF3,2,4.1244,2.4,4,4,2019-10-18,2019-10-18,EnvChall,0.490451388888889,REt12,2019-07-24,FALSE,0,1,-3.03147333333333,1.66,-298,SPF3
