ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,experimentDate,adjDate,fractionKept,animalID,groupcent_groom,groupcent_agRec,groupcent_elo
1,AZ,SGE2,SPF1,800,1.32442105263158,0.421052631578947,2019-10-10,EnvChall,0.399577167019027,RAz15,-0.520832903336773,-0.243034055727554,-240
2,BI,SGE2,NSPF3,1266,11.5801,0,2019-10-14,EnvChall,0.521276595744681,RBi10,2.76197411764706,-1.14117647058824,266
3,BM,SGE2,NSPF4,1453,15.2,0,2019-10-16,EnvChall,0.502623294858342,RBm7,4.89396257309942,-0.471345029239766,453
4,BW,SGE2,SPF4,1221,3.746,0.461538461538462,2019-11-13,EnvChall,0.549053356282272,RBw12,1.21246153846154,-0.0512820512820512,65
5,CL,SGE2,NSPF2,438,2.26496551724138,7.10344827586207,2019-08-25,EnvChall,0.500429922613929,RCl13,-1.18893402663748,4.88699142492246,-562
6,CV,SGE2,NSPF2,1039,6.24328571428571,0.571428571428571,2019-08-25,EnvChall,0.500429922613929,RCv9,2.78938617040686,-1.64502827951104,39
7,D2,SGE2,NSPF4,1159,8.01336842105263,0,2019-10-16,EnvChall,0.502623294858342,RDj7,-2.29266900584795,-0.471345029239766,159
8,DJ,SGE2,SPF5,936,9.70018181818182,0.909090909090909,2019-11-11,EnvChall,0.360529217199559,RDj15,2.59191212121212,-0.106060606060606,-64
9,ED,SGE2,NSPF2,1469,4.12248275862069,0,2019-08-25,EnvChall,0.500429922613929,REd8,0.668583214741835,-2.21645685093961,469
10,ET,SGE2,SPF3,702,4.1244,2.4,2019-10-18,EnvChall,0.490451388888889,REt12,-3.03147333333333,1.66,-298
11,FI,SGE2,NSPF5,1042,4.50705882352941,0,2019-10-07,EnvChall,0.239637305699482,RFi9,-1.51467810457516,-0.0277777777777778,-52
12,FN,SGE2,NSPF1,1350,9.29061538461539,0,2019-08-27,EnvChall,0.472914875322442,RFn14,3.88057433110368,-0.665217391304348,350
13,FW,SGE2,SPF4,1419,2.08861538461538,0,2019-11-13,EnvChall,0.549053356282272,RFw12,-0.444923076923077,-0.512820512820513,263
14,FY,SGE2,SPF2,1067,0.834736842105263,0,2019-10-03,EnvChall,0.401253918495298,RFy11,-1.14954385964912,-0.0350877192982456,67
15,GA,SGE2,SPF3,1236,4.6187,0,2019-10-18,EnvChall,0.490451388888889,RGa13,-2.53717333333333,-0.74,236
16,GL,SGE2,SPF3,1123,8.8842,0.1,2019-10-18,EnvChall,0.490451388888889,RGl11,1.72832666666667,-0.64,123
17,GQ,SGE2,NSPF5,926,6.95433333333333,0.111111111111111,2019-10-07,EnvChall,0.239637305699482,RGq10,0.932596405228758,0.0833333333333333,-168
18,GU,SGE2,NSPF1,1314,9.27769230769231,0,2019-08-27,EnvChall,0.472914875322442,RGu10,3.8676512541806,-0.665217391304348,314
19,HT,SGE2,SPF4,828,1.766,1.07692307692308,2019-11-13,EnvChall,0.549053356282272,RHt8,-0.767538461538462,0.564102564102564,-328
20,IV,SGE2,NSPF5,1092,8.05311111111111,0,2019-10-07,EnvChall,0.239637305699482,RIv8,2.03137418300654,-0.0277777777777778,-2
21,JE,SGE2,SPF2,1195,2.36989473684211,0,2019-10-03,EnvChall,0.401253918495298,RJe11,0.385614035087719,-0.0350877192982456,195
22,JV,SGE2,SPF5,1347,8.76916666666667,0,2019-11-11,EnvChall,0.360529217199559,JVA,1.66089696969697,-1.01515151515152,347
23,KK,SGE2,SPF1,1150,2.61470588235294,0.235294117647059,2019-10-10,EnvChall,0.399577167019027,RKk13,0.769451926384589,-0.428792569659443,110
24,LM,SGE2,NSPF1,944,1.42095652173913,0.260869565217391,2019-08-27,EnvChall,0.472914875322442,RLm8,-3.98908453177258,-0.404347826086956,-56
25,LO,SGE2,NSPF4,965,10.8417894736842,0.631578947368421,2019-10-16,EnvChall,0.502623294858342,RLo9,0.535752046783626,0.160233918128655,-35
26,MD,SGE2,NSPF5,1316,4.57244444444444,0,2019-10-07,EnvChall,0.239637305699482,RMd11,-1.44929248366013,-0.0277777777777778,222
27,MG,SGE2,SPF3,1459,9.233,0,2019-10-18,EnvChall,0.490451388888889,RMg12,2.07712666666667,-0.74,459
28,MI,SGE2,SPF1,664,1.41688888888889,2,2019-10-10,EnvChall,0.399577167019027,RMi12,-0.428365067079463,1.3359133126935,-376
29,NN,SGE2,SPF1,1546,2.025,0,2019-10-10,EnvChall,0.399577167019027,RNn10,0.179746044031648,-0.664086687306502,506
30,NP,SGE2,NSPF3,1059,9.6769,0.3,2019-10-14,EnvChall,0.521276595744681,RNp9,0.858774117647059,-0.841176470588235,59
31,PH,SGE2,NSPF3,890,8.44552941176471,0.705882352941177,2019-10-14,EnvChall,0.521276595744681,RPh7,-0.372596470588235,-0.435294117647059,-110
32,PT,SGE2,NSPF2,592,1.15407407407407,3.40740740740741,2019-08-25,EnvChall,0.500429922613929,RPt8,-2.29982546980478,1.1909505564678,-408
33,RN,SGE2,NSPF1,392,1.6509,2.4,2019-08-27,EnvChall,0.472914875322442,RRn9,-3.75914105351171,1.73478260869565,-608
34,RZ,SGE2,NSPF2,1462,3.48468965517241,0,2019-08-25,EnvChall,0.500429922613929,RRz6,0.0307901112935594,-2.21645685093961,462
35,SS,SGE2,SPF5,916,6.62666666666667,0.666666666666667,2019-11-11,EnvChall,0.360529217199559,RSs10,-0.481603030303031,-0.348484848484849,-84
36,TA,SGE2,SPF5,1409,9.2585,0,2019-11-11,EnvChall,0.360529217199559,RTa11,2.1502303030303,-1.01515151515152,409
37,TM,SGE2,NSPF4,798,9.56547368421053,0.947368421052632,2019-10-16,EnvChall,0.502623294858342,RTm13,-0.740563742690059,0.476023391812865,-202
38,TR,SGE2,NSPF3,392,5.9893,4.7,2019-10-14,EnvChall,0.521276595744681,RTr13,-2.82882588235294,3.55882352941176,-608
39,VH,SGE2,NSPF4,625,7.90955555555556,0.777777777777778,2019-10-16,EnvChall,0.502623294858342,RVh7,-2.39648187134503,0.306432748538012,-375
40,VT,SGE2,SPF5,392,1.18683333333333,3.5,2019-11-11,EnvChall,0.360529217199559,RVt12,-5.92143636363636,2.48484848484848,-608
41,WM,SGE2,NSPF3,1393,8.3988,0,2019-10-14,EnvChall,0.521276595744681,RWm14,-0.419325882352942,-1.14117647058824,393
42,YR,SGE2,SPF2,738,2.74821052631579,0.105263157894737,2019-10-03,EnvChall,0.401253918495298,RYr14,0.763929824561404,0.0701754385964912,-262
43,YZ,SGE2,SPF3,480,8.91906666666667,1.2,2019-10-18,EnvChall,0.490451388888889,RYz6,1.76319333333333,0.46,-520
