ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,experimentDate,adjDate,fractionKept,animalID,groupcent_groom,groupcent_agRec,groupcent_elo
1,AZ,SGE2,SPF1,359,3.16263157894737,4.42105263157895,2020-02-24,Vax,1,RAz15,-5.27172426163448,2.47755417956656,-681
2,BI,SGE2,NSPF3,1440,16.6181,0,2020-01-21,Vax,1,RBi10,3.00127764705882,-2.04588235294118,440
3,BM,SGE2,NSPF4,1499,29.4335789473684,0,2020-02-04,Vax,1,RBm7,11.0155111111111,-1.01286549707602,499
4,BW,SGE2,SPF4,1172,8.12692307692308,1.07692307692308,2020-02-24,Vax,1,RBw12,2.67276923076923,-1.07692307692308,16
5,CL,SGE2,NSPF2,372,8.75524137931034,9.44827586206897,2020-02-04,Vax,1,RCl13,0.618763875205255,5.83470169677066,-628
6,CV,SGE2,NSPF2,1109,11.0785714285714,0.857142857142857,2020-02-04,Vax,1,RCv9,2.94209392446634,-2.75643130815545,109
7,D2,SGE2,NSPF4,1239,20.1078947368421,0,2020-02-04,Vax,1,RDj7,1.68982690058479,-1.01286549707602,239
8,DJ,SGE2,SPF5,672,18.4576363636364,4.72727272727273,2020-02-24,Vax,1,RDj15,4.82407575757576,0.681818181818182,-328
10,ED,SGE2,NSPF2,1354,11.0182068965517,0.137931034482759,2020-02-04,Vax,1,REd8,2.88172939244664,-3.47564313081554,354
11,ET,SGE2,SPF3,590,8.633,5.1,2020-01-27,Vax,1,REt12,-2.68017333333333,3.72666666666667,-410
12,FI,SGE2,NSPF5,542,11.0601176470588,2.70588235294118,2020-01-21,Vax,1,RFi9,-0.0308006535947722,1.19607843137255,-389.5
13,FN,SGE2,NSPF1,1474,20.9819230769231,0,2020-01-21,Vax,1,RFn14,9.17779122073578,-1.91521739130435,474
14,FW,SGE2,SPF4,1615,3.14107692307692,0,2020-02-24,Vax,1,RFw12,-2.31307692307692,-2.15384615384615,459
15,FY,SGE2,SPF2,1111,5.13178947368421,0.105263157894737,2020-01-27,Vax,1,RFy11,-1.37150877192982,-0.315789473684211,111
16,GA,SGE2,SPF3,1155,8.3758,0.2,2020-01-27,Vax,1,RGa13,-2.93737333333333,-1.17333333333333,155
17,GL,SGE2,SPF3,1171,13.851,0.1,2020-01-27,Vax,1,RGl11,2.53782666666667,-1.27333333333333,171
18,GQ,SGE2,NSPF5,836,10.3508888888889,2.44444444444444,2020-01-21,Vax,1,RGq10,-0.740029411764706,0.934640522875817,-95.5
19,GU,SGE2,NSPF1,1472,20.969,0,2020-01-21,Vax,1,RGu10,9.16486814381271,-1.91521739130435,472
20,HT,SGE2,SPF4,681,5.09446153846154,5.38461538461539,2020-02-24,Vax,1,RHt8,-0.359692307692308,3.23076923076923,-475
21,IV,SGE2,NSPF5,946,16.1046666666667,0.777777777777778,2020-01-21,Vax,1,RIv8,5.01374836601307,-0.73202614379085,14.5
22,JE,SGE2,SPF2,1300,8.03863157894737,0,2020-01-27,Vax,1,RJe11,1.53533333333333,-0.421052631578947,300
23,JV,SGE2,SPF5,1594,17.3218333333333,0,2020-02-24,Vax,1,JVA,3.68827272727273,-4.04545454545455,594
24,KK,SGE2,SPF1,1256,13.6448235294118,0.352941176470588,2020-02-24,Vax,1,RKk13,5.21046768882992,-1.5905572755418,216
25,LM,SGE2,NSPF1,829,2.44130434782609,2.26086956521739,2020-01-21,Vax,1,RLm8,-9.3628275083612,0.345652173913043,-171
26,LO,SGE2,NSPF4,949,13.3829473684211,1.15789473684211,2020-02-04,Vax,1,RLo9,-5.03512046783626,0.145029239766082,-51
27,MD,SGE2,NSPF5,1402,6.848,0.111111111111111,2020-01-21,Vax,1,RMd11,-4.24291830065359,-1.39869281045752,470.5
28,MG,SGE2,SPF3,1635,14.1386,0,2020-01-27,Vax,1,RMg12,2.82542666666667,-1.37333333333333,635
29,MI,SGE2,SPF1,937,7.96411111111111,3,2020-02-24,Vax,1,RMi12,-0.470244729470735,1.05650154798762,-103
31,NN,SGE2,SPF1,1608,8.96585714285714,0,2020-02-24,Vax,1,RNn10,0.531501302275295,-1.94349845201238,568
32,NP,SGE2,NSPF3,1085,17.7957,1,2020-01-21,Vax,1,RNp9,4.17887764705882,-1.04588235294118,85
