ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
1,AZ,SGE2,SPF1,3,780,19,3,42,AZ_SPF1,AZ,359,0.9983,0.979695431472081,780,30.045,22.814,7.231,19,SPF1,2,3.16263157894737,4.42105263157895,5,NA,2020-05-27,WholePhase,1,RAz15,2019-07-19,FALSE,0,1,-5.09455716087605,1.8297213622291,-491.666666666667,SPF1
2,BI,SGE2,NSPF3,1,1266,20,2,0,BI_NSPF3,BI,1440,0.9993,1,1266,166.181,54.48,111.701,20,NSPF3,2,16.6181,0,2,NA,2020-05-27,WholePhase,1,RBi10,2019-07-19,FALSE,0,1,3.00127764705882,-2.04588235294118,440,NSPF3
3,BM,SGE2,NSPF4,1,1438,19,1,0,BM_NSPF4,BM,1499,0.9995,1,1438,279.619,110.334,169.285,19,NSPF4,2,29.4335789473684,0,1,NA,2020-05-27,WholePhase,1,RBm7,2019-07-19,FALSE,0,1,11.0155111111111,-1.01286549707602,499,NSPF4
4,BW,SGE2,SPF4,2,1212,13,2,7,BW_SPF4,BW,1172,0.9967,1,1212,52.825,14.414,38.411,13,SPF4,2,8.12692307692308,1.07692307692308,2,NA,2020-05-27,WholePhase,1,RBw12,2019-08-21,FALSE,0,1,2.67276923076923,-1.07692307692308,16,SPF4
5,CL,SGE2,NSPF2,2,438,29,5,137,CL_NSPF2,CL,372,0.9976,0.984848484848485,438,126.951,74.865,52.086,29,NSPF2,2,8.75524137931034,9.44827586206897,5,NA,2020-05-27,WholePhase,1,RCl13,2019-04-26,FALSE,0,1,0.618763875205255,5.83470169677066,-628,NSPF2
6,CV,SGE2,NSPF2,4,1039,28,3,12,CV_NSPF2,CV,1109,0.9976,0.984848484848485,1039,155.1,120.968,34.132,28,NSPF2,2,11.0785714285714,0.857142857142857,3,NA,2020-05-27,WholePhase,1,RCv9,2019-04-26,FALSE,0,1,2.94209392446634,-2.75643130815545,109,NSPF2
7,D2,SGE2,NSPF4,2,1159,19,2,0,D2_NSPF4,D2,1239,0.9995,1,1159,191.025,113.411,77.614,19,NSPF4,2,20.1078947368421,0,2,NA,2020-05-27,WholePhase,1,RDj7,2019-07-19,TRUE,0,1,1.68982690058479,-1.01286549707602,239,NSPF4
8,DJ,SGE2,SPF5,4,933,11,3,26,DJ_SPF5,DJ,672,0.9921,0.987951807228916,933,101.517,79.664,21.853,11,SPF5,2,18.4576363636364,4.72727272727273,4,NA,2020-05-27,WholePhase,1,RDj15,2019-10-25,FALSE,14,0.934883720930233,4.82407575757576,0.681818181818182,-328,SPF5
10,ED,SGE2,NSPF2,1,1469,29,1,2,ED_NSPF2,ED,1354,0.9976,0.984848484848485,1469,159.764,16.74,143.024,29,NSPF2,2,11.0182068965517,0.137931034482759,2,NA,2020-05-27,WholePhase,1,REd8,2019-04-26,FALSE,0,1,2.88172939244664,-3.47564313081554,354,NSPF2
11,ET,SGE2,SPF3,2,730,20,4,51,ET_SPF3,ET,590,0.9956,1,730,86.33,36.155,50.175,20,SPF3,2,8.633,5.1,4,NA,2020-05-27,WholePhase,1,REt12,2019-07-24,FALSE,0,1,-2.68017333333333,3.72666666666667,-410,SPF3
