ID,animalID,groupP1,groupP2,ordRankP1,ordRankP2,totObs,p1Obs,p2Obs,totAggRec,totGroomMin,totGroomMinGive,totGroomMinReceive,rawAgRecP1,rawAgRecP2,rawEloP1,rawEloP2,rawGroomP1,rawGroomP2,gcAgRecP1,gcAgRecP2,gcEloP1,gcEloP2,gcGroomP1,gcGroomP2,rawCombinedGroomRate,rawCombinedAggRecRate,percentP1Obs,gcCombinedAggRecRate,gcCombinedGroomRate,gcCombinedElo
1,AZ,RAz15,SPF5_1,SPF1,5,3,55,36,19,98,80.262,68.177,12.085,3.11111111111111,4.42105263157895,40,359,2.78983333333333,3.16263157894737,1.99722313406524,2.47755417956656,-960,-681,-0.569125134040924,-5.27172426163448,2.91861818181818,3.56363636363636,0.654545454545455,2.16315567705661,-2.1936593781187,-863.618181818182
2,BI,RBi10,NSPF1_1,NSPF3,5,2,51,31,20,95,326.582,136.652,189.93,6.12903225806452,0,493,1440,10.3484516129032,16.6181,4.440489432703,-2.04588235294118,-507,440,-1.69784566555432,3.00127764705882,12.807137254902,3.72549019607843,0.607843137254902,1.89681422264646,0.144947790372403,-135.627450980392
3,BM,RBm7,NSPF2_1,NSPF4,5,1,64,45,19,170,508.373,246.818,261.555,7.55555555555556,0,147,1499,10.1668444444444,29.4335789473684,5.82275304061018,-1.01286549707602,-853,499,-2.56659809936096,11.0155111111111,15.88665625,5.3125,0.703125,3.79342878723459,1.46559057249794,-451.625
4,BW,RBw12,SPF3_1,SPF4,2,2,46,33,13,8,97.15,44.199,52.951,0.0606060606060606,1.07692307692308,1489,1172,2.68636363636364,8.12692307692308,-4.47272727272727,-1.07692307692308,489,16,-1.54112727272727,2.67276923076923,4.22391304347826,0.347826086956522,0.717391304347826,-3.51304347826087,-0.350243478260869,355.326086956522
5,CL,RCl13,NSPF3_1,NSPF2,5,5,69,40,29,189,384.462,296.288,88.174,2.6,9.44827586206897,473,372,12.87555,8.75524137931034,1.70129819040126,5.83470169677066,-527,-628,3.72955000786782,0.618763875205255,11.1438260869565,5.47826086956522,0.579710144927536,3.43852575104927,2.42211815500964,-569.449275362319
6,CV,RCv9,NSPF5_1,NSPF2,4,3,58,30,28,30,469.811,270.408,199.403,1.2,0.857142857142857,785,1109,20.9807333333333,11.0785714285714,0.444444444444444,-2.75643130815545,-354,109,4.77649914529914,2.94209392446634,16.2003793103448,1.03448275862069,0.517241379310345,-1.10080591887964,3.890924211104,-130.48275862069
7,DJ,RDj15,SPF5_1,SPF5,2,3,50,39,11,30,196.7,127.449,69.251,0.205128205128205,4.72727272727273,1509,672,4.88117948717949,18.4576363636364,-0.908759771917667,0.681818181818182,509,-328,1.52222101980523,4.82407575757576,7.868,1.2,0.78,-0.55883262209578,2.24862906211475,324.86
8,ED,REd8,NSPF2_1,NSPF2,3,1,78,49,29,17,480.787,176.492,304.295,0.612244897959184,0.137931034482759,1074,1354,13.1029795918367,11.0182068965517,-1.12055761698619,-3.47564313081554,74,354,0.369537048031335,2.88172939244664,12.3278717948718,0.435897435897436,0.628205128205128,-1.99616633366633,1.30355727864728,178.102564102564
9,ET,REt12,SPF5_1,SPF3,4,4,57,37,20,81,112.593,39.445,73.148,1.62162162162162,5.1,486,590,1.41962162162162,8.633,0.50773364457575,3.72666666666667,-514,-410,-1.93933684575264,-2.68017333333333,3.95063157894737,2.84210526315789,0.649122807017544,1.63718382776555,-2.19927947297393,-477.508771929825
10,FN,RFn14,NSPF5_1,NSPF1,2,1,56,30,26,1,483.938,131.965,351.973,0.0666666666666667,0,1541,1474,14.0782,20.9819230769231,-0.688888888888889,-1.91521739130435,402,474,-2.12603418803419,9.17779122073578,17.2835,0.0357142857142857,0.535714285714286,-1.25825569358178,3.12217046603759,435.428571428571
