ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,adjDate,fractionKept,animalID
1,AI,SGE1,NSPF2_1,1566,18.1889795918367,0,5.45553704803133,-1.73280251494537,566,,1,RAi10
2,AZ,SGE1,SPF5_1,40,2.78983333333333,3.11111111111111,-0.569125134040924,1.99722313406524,-960,,1,RAz15
3,BI,SGE1,NSPF1_1,493,10.3484516129032,6.12903225806452,-1.69784566555432,4.440489432703,-507,,1,RBi10
4,BM,SGE1,NSPF2_1,147,10.1668444444444,7.55555555555556,-2.56659809936096,5.82275304061018,-853,,1,RBm7
5,BW,SGE1,SPF3_1,1489,2.68636363636364,0.0606060606060606,-1.54112727272727,-4.47272727272727,489,,1,RBw12
6,CG,SGE1,SPF5_1,1073,3.52073684210526,0.631578947368421,0.161778374731007,-0.482309029677451,73,,1,RCg16
7,CL,SGE1,NSPF3_1,473,12.87555,2.6,3.72955000786782,1.70129819040126,-527,,1,RCl13
8,CV,SGE1,NSPF5_1,785,20.9807333333333,1.2,2.88053388278388,0.633333333333333,-438.5,,1,RCv9
9,DJ,SGE1,SPF5_1,1509,4.88117948717949,0.205128205128205,1.52222101980523,-0.908759771917667,509,,1,RDj15
11,ED,SGE1,NSPF2_1,1074,13.1029795918367,0.612244897959184,0.369537048031335,-1.12055761698619,74,,1,REd8
12,ET,SGE1,SPF5_1,486,1.41962162162162,1.62162162162162,-1.93933684575264,0.50773364457575,-514,,1,REt12
13,FN,SGE1,NSPF5_1,1541,14.0782,0.0666666666666667,-4.02199945054945,-0.5,317.5,,1,RFn14
14,FW,SGE1,SPF5_1,1892,4.18342105263158,0,0.824462585257322,-1.11388797704587,892,,1,RFw12
15,FY,SGE1,SPF4_1,818,8.77470967741936,2.38709677419355,-1.08646140552995,-0.309907834101382,-127.75,,1,RFy11
16,GA,SGE1,SPF3_1,934,5.89636363636364,2.72727272727273,1.66887272727273,-1.80606060606061,-66,,1,RGa13
17,GL,SGE1,SPF2_1,817,7.73237209302326,0.790697674418605,2.83084366358208,-1.81092012133468,-183,,1,RGl11
18,GQ,SGE1,NSPF3_1,1125,6.8329,0.15,-2.31309999213218,-0.748701809598741,125,,1,RGq10
19,GU,SGE1,NSPF4_1,1664,19.8941025641026,0,5.46116666666667,-1.07948717948718,664,,1,RGu10
20,HT,SGE1,SPF1_1,1708,13.4867083333333,0,5.90027092198581,-1.83581560283688,708,,1,RHt8
21,IE,SGE1,NSPF1_1,492,4.4371724137931,1.86206896551724,-7.60912486466444,0.173526140155729,-508,,1,RIe6
22,IK,SGE1,NSPF3_1,664,2.87735483870968,1.54838709677419,-6.2686451534225,0.649685287175452,-336,,1,RIk6
23,IV,SGE1,NSPF4_1,457,5.1995,2.16666666666667,-9.2334358974359,1.08717948717949,-543,,1,RIv8
24,JE,SGE1,SPF2_1,758,7.6015652173913,1.17391304347826,2.70003678795013,-1.42770475227503,-242,,1,RJe11
25,JV,SGE1,SPF2_1,1398,4.46891304347826,0.0434782608695652,-0.432615385962918,-2.55813953488372,398,,1,JVA
26,KK,SGE1,SPF2_1,134,0.509642857142857,11,-4.39188557229832,8.39838220424671,-866,,1,RKk13
27,LM,SGE1,NSPF3_1,1718,13.5047317073171,0,4.35873171518489,-0.898701809598741,718,,1,RLm8
