ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,adjDate,fractionKept,animalID
1,AI,SGE1,NSPF2_1,1240,6.67183673469388,0,3.1461406864564,-0.594388785817357,240,EnvChall,0.346666666666667,RAi10
2,AZ,SGE1,SPF5_1,150,1.02188888888889,1.5,-0.146444697328908,1.03840682788051,-850,EnvChall,0.351421188630491,RAz15
3,BI,SGE1,NSPF1_1,353,1.15096774193548,4.06451612903226,-1.71768034111976,3.15506117908788,-647,EnvChall,0.314285714285714,RBi10
4,BM,SGE1,NSPF2_1,335,2.1584,2.62222222222222,-1.36729604823748,2.02783343640486,-665,EnvChall,0.346666666666667,RBm7
5,BW,SGE1,SPF3_1,1539,1.67612121212121,0.0606060606060606,-0.74540606060606,-3.36969696969697,539,EnvChall,0.471448275862069,RBw12
6,CG,SGE1,SPF5_1,1154,1.52626315789474,0.105263157894737,0.35792957167694,-0.356330014224751,154,EnvChall,0.351421188630491,RCg16
7,CL,SGE1,NSPF3_1,647,3.96855,0.6,0.489326270653029,0.357261998426436,-353,EnvChall,0.218098627351296,RCl13
8,CV,SGE1,NSPF5_1,954,7.97466666666667,0.333333333333333,2.49633003663004,0.137179487179487,-239.75,EnvChall,0.333795654184004,RCv9
9,DJ,SGE1,SPF5_1,1382,1.39266666666667,0,0.22433308044887,-0.461593172119488,382,EnvChall,0.351421188630491,RDj15
11,ED,SGE1,NSPF2_1,1170,4.73285714285714,0.122448979591837,1.20716109461967,-0.47193980622552,170,EnvChall,0.346666666666667,REd8
12,ET,SGE1,SPF5_1,653,0.62827027027027,0.702702702702703,-0.540063315947527,0.241109530583215,-347,EnvChall,0.351421188630491,REt12
13,FN,SGE1,NSPF5_1,1365,1.4412,0.0666666666666667,-4.03713663003663,-0.129487179487179,171.25,EnvChall,0.333795654184004,RFn14
14,FW,SGE1,SPF5_1,1661,1.27257894736842,0,0.104245361150624,-0.461593172119488,661,EnvChall,0.351421188630491,RFw12
15,FY,SGE1,SPF4_1,906,4.00587096774194,1.74193548387097,-0.194153225806452,0.454493087557604,-39.75,EnvChall,0.445940078158923,RFy11
16,GA,SGE1,SPF3_1,975,3.21393939393939,2.12121212121212,0.792412121212121,-1.30909090909091,-25,EnvChall,0.471448275862069,RGa13
17,GL,SGE1,SPF2_1,912,1.51362790697674,0.0930232558139535,0.63052381362157,-0.205705618951322,-88,EnvChall,0.221613832853026,RGl11
